date,open,close,low,high,volume
1990-12-31,96.05,127.61,95.79,127.61,63660.0
1991-01-31,127.61,129.97,127.61,135.19,6719700.0
1991-02-28,129.5,133.01,128.06,134.87,5098200.0
1991-03-29,132.53,120.19,120.11,132.53,2452800.0
1991-04-30,120.69,113.94,113.89,122.2,7067100.0
1991-05-31,113.04,114.83,104.96,114.83,7677500.0
1991-06-28,115.9,137.56,114.89,137.56,7782800.0
1991-07-31,136.64,143.8,131.87,143.8,16013200.0
1991-08-30,145.12,178.43,143.8,178.43,8081400.0
1991-09-30,180.08,180.92,178.43,191.18,28613300.0
1991-10-31,181.55,218.6,179.8,218.6,22344300.0
1991-11-29,220.71,259.6,218.6,259.85,9627000.0
1991-12-31,261.78,292.75,259.67,292.75,4366600.0
1992-01-31,293.74,313.24,292.76,313.24,1690500.0
1992-02-28,314.18,364.66,313.24,364.67,10828700.0
1992-03-31,365.15,381.24,364.66,382.06,16144100.0
1992-04-30,381.55,445.38,381.01,448.94,51061100.0
1992-05-29,454.86,1234.71,439.96,1429.01,107331300.0
1992-06-30,1175.69,1191.19,1033.47,1249.58,79408700.0
1992-07-31,1199.54,1052.07,961.61,1215.24,138842500.0
1992-08-31,1034.7,823.27,627.36,1060.36,204067900.0
1992-09-30,826.96,702.32,595.42,832.84,208998500.0
1992-10-30,676.47,507.25,447.93,713.77,204637100.0
1992-11-30,471.18,724.6,386.85,752.32,325186200.0
1992-12-31,718.99,780.39,592.78,841.02,476167400.0
1993-01-29,784.13,1198.48,777.16,1198.48,734165400.0
1993-02-26,1242.35,1339.88,1196.47,1558.95,1227577700.0
1993-03-31,1328.22,925.91,913.74,1339.1,762189600.0
1993-04-30,921.59,1358.78,915.59,1392.62,1299869000.0
1993-05-31,1365.15,935.48,930.64,1380.5,661235600.0
1993-06-30,935.9,1007.05,859.48,1177.91,906521800.0
1993-07-30,1000.8,881.07,777.73,1009.89,656043500.0
1993-08-31,885.31,895.68,823.0,1042.47,1497693400.0
1993-09-30,898.01,890.27,864.38,947.53,619490800.0
1993-10-29,895.69,814.82,774.54,934.4,1514535900.0
1993-11-30,801.86,984.93,793.32,1011.76,2692765900.0
1993-12-31,993.67,833.8,750.46,1044.85,2818664100.0
1994-01-31,837.7,770.25,760.78,907.09,2424543500.0
1994-02-28,770.25,770.98,749.63,818.57,1506898400.0
1994-03-31,771.52,704.46,694.03,807.52,5354088500.0
1994-04-29,704.93,592.56,536.34,705.41,3931437800.0
1994-05-31,593.94,556.26,537.78,620.94,4194461500.0
1994-06-30,554.08,469.29,458.74,556.9,2119220300.0
1994-07-29,469.27,333.92,325.89,469.43,1542891300.0
1994-08-31,394.87,785.33,377.97,787.22,20732203500.0
1994-09-30,785.61,791.15,785.56,1052.94,14875311500.0
1994-10-31,770.9,654.98,546.79,794.85,6557712000.0
1994-11-30,667.66,683.59,648.68,743.22,3238673000.0
1994-12-30,684.02,647.87,620.47,695.22,2163403500.0
1995-01-27,637.72,562.59,547.38,657.52,773002000.0
1995-02-28,559.78,549.26,524.43,594.92,1038663400.0
1995-03-31,548.91,646.92,545.72,648.04,2937260000.0
1995-04-28,651.04,579.93,547.21,681.15,3038391400.0
1995-05-31,576.69,700.51,564.86,926.41,6132731200.0
1995-06-30,703.72,630.58,625.7,722.3,2665856300.0
1995-07-31,623.14,695.55,610.33,723.68,6699946800.0
1995-08-31,697.22,723.87,688.65,788.16,10004406600.0
1995-09-29,726.05,722.43,699.1,792.54,5992627400.0
1995-10-31,724.04,717.32,693.86,765.48,7120845100.0
1995-11-30,716.46,641.14,632.03,736.91,3542618000.0
1995-12-29,631.55,555.29,552.84,643.36,1767183700.0
1996-01-31,550.26,537.35,512.83,561.36,2417387000.0
1996-02-16,536.24,552.94,518.18,553.83,937014700.0
1996-03-29,583.38,556.39,549.71,606.51,2717771600.0
1996-04-30,566.21,681.16,556.23,739.29,6839040200.0
1996-05-31,715.97,643.65,630.42,725.16,7596814400.0
1996-06-28,643.96,804.25,636.46,819.84,12194658000.0
1996-07-31,800.91,822.48,753.64,894.73,14009885700.0
1996-08-30,823.17,809.94,766.7,894.86,8117211500.0
1996-09-27,812.94,875.53,752.68,875.53,8850330100.0
1996-10-31,887.85,976.71,852.83,1038.81,18528855000.0
1996-11-29,935.17,1032.95,896.88,1047.39,13684739300.0
1996-12-31,1056.68,917.02,855.85,1258.69,21944768600.0
1997-01-31,914.06,964.74,871.78,967.9,6925490400.0
1997-02-28,969.53,1040.27,870.18,1040.33,7735229100.0
1997-03-31,1044.61,1234.62,1043.93,1234.96,18611318000.0
1997-04-30,1243.87,1393.75,1222.56,1396.48,21173317500.0
1997-05-30,1398.14,1285.18,1213.24,1510.18,15626081000.0
1997-06-27,1302.82,1250.27,1154.97,1369.51,9737584500.0
1997-07-31,1255.91,1189.76,1066.04,1261.57,9000939600.0
1997-08-29,1191.65,1221.06,1116.15,1223.07,9238605400.0
1997-09-30,1224.18,1097.38,1025.13,1264.49,9234743900.0
1997-10-31,1100.7,1180.39,1087.02,1241.83,6993339200.0
1997-11-28,1181.16,1139.63,1114.14,1213.23,6275649600.0
1997-12-31,1137.59,1194.1,1119.2,1198.97,6648992800.0
1998-01-23,1200.95,1222.91,1110.09,1250.01,7036714900.0
1998-02-27,1258.0,1206.53,1189.52,1262.62,6005331400.0
1998-03-31,1196.74,1243.02,1175.55,1252.24,8538902500.0
1998-04-30,1243.37,1343.45,1240.06,1343.46,22327817700.0
1998-05-29,1353.06,1411.21,1324.72,1411.35,18848076800.0
1998-06-30,1418.35,1339.2,1323.53,1422.98,14185295800.0
1998-07-31,1363.27,1316.92,1278.3,1367.15,10703434800.0
1998-08-31,1315.14,1150.22,1043.02,1315.47,11568620800.0
1998-09-30,1142.5,1242.9,1123.64,1264.4,15481164000.0
1998-10-30,1245.74,1217.32,1191.56,1263.71,11672622700.0
1998-11-30,1217.34,1247.42,1210.85,1300.15,12167239300.0
1998-12-31,1249.01,1146.7,1125.56,1251.87,7216957400.0
1999-01-29,1144.89,1134.67,1104.5,1174.43,9286116200.0
1999-02-09,1131.65,1090.09,1064.17,1131.66,2756467700.0
1999-03-31,1092.15,1158.05,1084.16,1179.65,13647641400.0
1999-04-30,1158.68,1120.93,1087.79,1210.1,16163540500.0
1999-05-31,1120.91,1279.33,1047.83,1303.48,22822467900.0
1999-06-30,1283.3,1689.43,1259.01,1756.18,64003890000.0
1999-07-30,1678.84,1601.46,1471.51,1678.84,36671511900.0
1999-08-31,1607.06,1627.12,1546.84,1658.69,23700845700.0
1999-09-30,1627.82,1570.7,1556.74,1695.64,16234502900.0
1999-10-29,1568.24,1504.56,1452.71,1568.38,10036689300.0
1999-11-30,1501.74,1434.97,1427.36,1506.99,12577448000.0
1999-12-30,1434.98,1366.58,1341.05,1461.9,10948308900.0
2000-01-28,1368.69,1535.0,1361.21,1547.71,28959216700.0
2000-02-29,1591.45,1714.58,1583.58,1770.88,37201885700.0
2000-03-31,1720.6,1800.23,1596.07,1811.06,46723697000.0
2000-04-28,1799.58,1836.32,1746.3,1858.27,29907076100.0
2000-05-31,1848.17,1894.55,1695.53,1908.31,20965032300.0
2000-06-30,1900.53,1928.11,1884.62,1953.34,31120072500.0
2000-07-31,1917.44,2023.54,1888.25,2025.0,32137008800.0
2000-08-31,2027.01,2021.2,1980.35,2114.52,37574450900.0
2000-09-29,2009.15,1910.16,1874.21,2026.35,15431298800.0
2000-10-31,1912.08,1961.29,1896.95,1980.63,12949520700.0
2000-11-30,1961.08,2070.61,1959.72,2125.72,25104392200.0
2000-12-29,2073.09,2073.48,2024.29,2097.29,25366037800.0
2001-01-19,2077.08,2065.61,2007.71,2131.98,12542879400.0
2001-02-28,2069.86,1959.18,1893.78,2072.55,8494291800.0
2001-03-30,1959.01,2112.78,1953.72,2112.88,25255146500.0
2001-04-30,2117.45,2119.18,2081.64,2179.74,24341349700.0
2001-05-31,2119.9,2214.26,2119.89,2222.65,19167365000.0
2001-06-29,2216.56,2218.03,2157.12,2245.44,20687685800.0
2001-07-31,2220.42,1920.32,1909.3,2223.21,13180820900.0
2001-08-31,1925.24,1834.14,1795.57,1990.7,13925924600.0
2001-09-28,1831.703,1764.867,1750.764,1888.901,9099792900.0
2001-10-31,1766.133,1689.17,1514.862,1773.798,151700883400.0
2001-11-30,1692.351,1747.993,1550.465,1748.0,12358434600.0
2001-12-31,1751.051,1645.971,1593.026,1776.019,12012718500.0
2002-01-31,1643.485,1491.665,1339.2,1643.5,68167588200.0
2002-02-28,1494.577,1524.701,1476.133,1544.921,8467054200.0
2002-03-29,1521.528,1603.905,1494.834,1693.873,27300077100.0
2002-04-30,1598.03,1667.749,1575.972,1680.298,17496756400.0
2002-05-31,1669.871,1515.733,1506.542,1670.917,10519479500.0
2002-06-28,1510.247,1732.755,1455.305,1748.89,24825420000.0
2002-07-31,1736.293,1651.594,1647.265,1741.918,20203690300.0
2002-08-30,1650.05,1666.618,1624.049,1696.277,10780959500.0
2002-09-27,1666.341,1581.618,1577.53,1680.279,7955965100.0
2002-10-31,1577.052,1507.496,1488.679,1577.052,9468853500.0
2002-11-29,1507.383,1434.182,1353.139,1573.104,14055071300.0
2002-12-31,1432.029,1357.654,1348.714,1439.85,12640131500.0
2003-01-29,1347.433,1499.815,1311.684,1508.588,26365514400.0
2003-02-28,1499.166,1511.932,1474.471,1524.751,11981975900.0
2003-03-31,1511.585,1510.578,1447.014,1529.752,15140623600.0
2003-04-30,1513.001,1521.444,1473.266,1649.603,45957718100.0
2003-05-30,1522.981,1576.261,1477.252,1581.612,23239687000.0
2003-06-30,1577.987,1486.024,1483.686,1582.412,19100912300.0
2003-07-31,1485.521,1476.742,1464.866,1540.194,18182927700.0
2003-08-29,1476.47,1421.983,1406.681,1497.102,11642717000.0
2003-09-30,1423.353,1367.161,1348.222,1456.553,14068060000.0
2003-10-31,1366.201,1348.303,1334.784,1411.88,15145493200.0
2003-11-28,1346.481,1397.225,1307.395,1423.582,28005545500.0
2003-12-31,1398.706,1497.044,1398.706,1525.299,39033221600.0
2004-01-30,1492.724,1590.729,1491.694,1634.413,32024141200.0
2004-02-27,1630.654,1675.067,1585.958,1730.279,54598679800.0
2004-03-31,1676.222,1741.623,1634.71,1760.076,41456281900.0
2004-04-30,1744.709,1595.587,1572.23,1783.007,37296032000.0
2004-05-31,1600.626,1555.906,1508.645,1606.072,14788938600.0
