date,open,close,low,high,volume
2023-01-16,26.06,26.5,25.78,26.67,2801570.0
2023-01-17,26.75,26.38,26.32,26.89,2516025.0
2023-01-18,26.49,26.82,26.24,27.03,3143222.0
2023-01-19,26.83,27.09,26.69,27.18,1922358.0
2023-01-20,27.2,27.24,27.01,27.49,3347460.0
2023-01-30,27.53,27.38,27.15,27.79,3160947.0
2023-01-31,27.52,28.42,27.52,28.78,7660857.0
2023-02-01,28.3,28.48,28.02,28.79,5236220.0
2023-02-02,28.53,29.39,28.5,30.28,7355535.0
2023-02-03,30.0,31.78,29.54,31.96,16632882.0
2023-02-06,33.0,32.38,31.7,34.0,22847292.0
2023-02-07,32.25,34.19,32.23,35.6,30106091.0
2023-02-08,34.27,32.72,32.51,36.0,21513905.0
2023-02-09,33.16,36.2,32.65,37.88,35666027.0
2023-02-10,37.4,39.0,36.19,40.0,40580241.0
2023-02-13,38.1,41.96,37.19,42.81,35284963.0
2023-02-14,40.5,39.6,39.08,40.98,25325045.0
2023-02-15,39.6,40.88,39.41,42.97,32490632.0
2023-02-16,40.44,39.01,38.73,41.87,25176303.0
2023-02-17,39.01,37.94,37.78,40.28,16069180.0
2023-02-20,38.48,39.34,37.45,39.8,20583984.0
2023-02-21,38.7,39.46,38.61,40.88,16451726.0
2023-02-22,38.86,38.45,38.09,39.4,16170378.0
2023-02-23,38.81,38.42,37.95,39.49,11686180.0
2023-02-24,40.0,41.71,39.4,43.38,23846942.0
2023-02-27,41.72,40.2,39.84,41.99,14556432.0
2023-02-28,41.01,40.2,39.39,41.7,14342719.0
2023-03-01,40.01,41.39,39.6,42.69,18076730.0
2023-03-02,41.27,44.0,41.16,45.99,22285462.0
2023-03-03,42.83,40.57,40.1,42.83,22603955.0
2023-03-06,39.9,40.04,39.61,41.41,16359856.0
2023-03-07,39.68,38.5,38.4,40.15,15151075.0
2023-03-08,38.51,39.2,38.48,39.78,9264763.0
2023-03-09,39.35,39.34,38.02,39.86,10915238.0
2023-03-10,39.32,38.78,38.7,40.18,9606204.0
2023-03-13,38.32,40.19,38.32,40.49,11742235.0
2023-03-14,40.15,38.64,38.55,40.15,7865488.0
2023-03-15,39.12,36.71,36.55,39.39,19165611.0
2023-03-16,36.41,36.33,36.1,37.69,10531431.0
2023-03-17,36.76,42.14,36.75,43.42,29929414.0
2023-03-20,42.0,44.05,42.0,45.25,25768279.0
2023-03-21,43.91,45.5,42.08,46.18,17712803.0
2023-03-22,45.05,49.42,44.0,50.37,24948129.0
2023-03-23,49.49,50.85,48.51,52.5,22367577.0
2023-03-24,49.61,49.91,48.0,50.38,17344427.0
2023-03-27,49.9,49.16,47.02,51.18,24253025.0
2023-03-28,47.63,46.84,46.52,48.96,15478211.0
2023-03-29,47.0,48.82,46.55,49.97,18656962.0
2023-03-30,47.72,48.31,46.58,49.53,12177262.0
2023-03-31,48.02,51.72,46.74,52.16,15208380.0
2023-04-03,52.45,60.53,50.9,62.0,27602298.0
2023-04-04,59.88,61.29,58.65,62.58,17673857.0
2023-04-06,59.06,66.8,59.01,71.75,19197820.0
2023-04-07,66.8,67.5,62.33,67.68,17635484.0
2023-04-10,65.5,61.71,60.1,67.39,24461007.0
2023-04-11,62.0,61.39,59.46,63.69,20417120.0
2023-04-12,60.0,62.49,58.06,63.44,17845796.0
2023-04-13,61.22,57.77,56.97,61.88,20286529.0
2023-04-14,57.89,58.15,56.4,59.0,16761892.0
2023-04-17,57.31,56.54,54.96,58.14,15691665.0
2023-04-18,56.8,65.28,56.8,67.3,30280630.0
2023-04-19,65.36,64.38,64.0,67.5,21992424.0
2023-04-20,65.6,71.48,65.6,71.53,21239842.0
2023-04-21,68.1,64.0,63.6,68.68,24976460.0
2023-04-24,64.02,65.46,62.66,67.83,20065705.0
2023-04-25,64.17,61.52,60.28,65.37,17146879.0
2023-04-26,61.53,60.9,58.6,64.23,16809773.0
2023-04-27,58.41,57.56,56.38,62.07,16720506.0
2023-04-28,56.51,60.87,56.2,62.0,14730437.0
2023-05-04,59.41,54.05,53.53,60.0,19396377.0
2023-05-05,54.7,52.4,51.8,55.9,18614550.0
2023-05-08,52.42,52.2,51.11,54.54,17143913.0
2023-05-09,51.87,53.13,51.87,57.26,19305606.0
2023-05-10,54.02,51.39,50.5,55.96,12712499.0
2023-05-11,50.55,51.02,50.0,52.19,9811345.0
2023-05-12,50.6,52.6,50.25,54.2,16183368.0
2023-05-15,53.62,52.82,50.1,53.95,15723508.0
2023-05-16,52.78,51.35,50.33,53.15,12675854.0
2023-05-17,51.0,53.88,50.85,54.38,14675487.0
2023-05-18,58.5,63.04,55.41,64.43,31516709.0
2023-05-19,60.5,57.4,56.76,61.96,21279326.0
2023-05-22,56.56,53.74,53.2,57.39,12803560.0
2023-05-23,54.13,54.65,54.1,56.58,15359425.0
2023-05-24,53.59,58.58,53.28,59.78,19470480.0
2023-05-25,63.5,70.3,63.5,70.3,37380223.0
2023-05-26,69.75,68.77,66.4,70.69,27733339.0
2023-05-29,72.0,75.5,70.66,80.0,36429141.0
2023-05-30,75.79,78.9,72.2,80.87,34359548.0
2023-05-31,76.88,76.1,73.9,77.5,23003811.0
2023-06-01,73.27,75.36,72.81,76.98,16169205.0
2023-06-02,77.0,72.82,72.17,77.78,15055190.0
2023-06-05,71.01,73.6,71.01,75.67,14369523.0
2023-06-06,74.88,77.25,74.0,82.3,23579834.0
2023-06-07,76.27,77.45,74.26,80.05,19000959.0
2023-06-08,76.55,73.6,72.5,77.0,15629063.0
2023-06-09,72.91,78.2,71.81,79.58,17253759.0
2023-06-12,78.25,86.21,77.06,86.28,21375849.0
2023-06-13,85.11,90.8,83.51,93.9,16850836.0
2023-06-14,91.1,105.89,91.0,108.0,20205860.0
2023-06-15,105.0,101.4,100.6,107.76,21495148.0
2023-06-16,102.02,107.3,99.08,110.99,21644403.0
2023-06-19,108.01,120.75,104.0,125.59,21455445.0
2023-06-20,116.13,118.95,111.43,121.0,18315797.0
2023-06-21,117.0,107.7,105.05,117.25,22618731.0
2023-06-26,104.0,101.98,100.0,107.69,18605328.0
2023-06-27,101.09,100.32,97.53,102.62,13080945.0
2023-06-28,96.0,97.53,91.7,99.5,16817147.0
2023-06-29,96.26,102.56,94.03,104.99,23937568.0
2023-06-30,99.0,106.83,97.99,113.56,21384587.0
2023-07-03,105.92,104.61,95.72,105.94,16167385.0
2023-07-04,102.01,103.36,101.0,107.05,12563971.0
2023-07-05,101.1,98.98,98.36,104.5,12512695.0
2023-07-06,96.76,100.05,96.76,103.82,10626008.0
2023-07-07,98.56,97.78,94.3,102.6,15332167.0
2023-07-10,98.0,97.87,95.25,99.05,9611933.0
2023-07-11,98.34,100.3,94.79,101.0,10539337.0
2023-07-12,98.0,89.31,88.66,99.3,20621933.0
2023-07-13,89.31,94.7,87.97,96.68,22728224.0
2023-07-14,98.01,102.0,95.1,104.2,22128740.0
2023-07-17,103.53,108.1,103.53,111.88,22101471.0
2023-07-18,109.0,108.1,105.38,112.12,18015739.0
2023-07-19,111.54,106.7,106.31,113.1,14086423.0
2023-07-20,107.21,93.8,93.4,107.79,24472238.0
2023-07-21,92.92,91.27,88.98,93.79,17005737.0
2023-07-24,91.44,94.01,90.3,97.67,18856559.0
2023-07-25,95.86,96.5,90.01,100.79,16965910.0
2023-07-26,96.56,94.06,91.0,98.34,14519667.0
2023-07-27,93.69,92.26,91.61,95.8,11871717.0
2023-07-28,92.31,92.73,90.53,96.52,13815301.0
2023-07-31,89.6,89.39,88.88,94.57,16967647.0
2023-08-01,89.42,97.69,88.3,98.88,25056936.0
2023-08-02,97.0,98.33,94.92,99.5,14555869.0
2023-08-03,93.55,94.55,92.61,99.5,16038205.0
2023-08-04,95.23,107.2,93.87,108.77,26268379.0
2023-08-07,108.01,107.72,106.21,112.42,22109705.0
2023-08-08,108.22,105.0,104.53,111.5,14863412.0
2023-08-09,102.8,94.52,93.8,105.79,21547949.0
2023-08-10,93.11,94.2,91.0,95.77,12166735.0
2023-08-11,96.11,94.56,93.85,97.5,12256016.0
2023-08-14,93.0,99.11,93.0,99.38,16090280.0
2023-08-15,103.33,99.58,98.25,105.98,19140649.0
2023-08-16,96.72,94.01,91.04,98.0,20319294.0
2023-08-17,92.51,92.8,89.88,95.8,16141510.0
2023-08-18,92.7,83.85,83.01,92.7,25424685.0
2023-08-21,84.11,84.6,83.0,86.65,15208821.0
2023-08-22,87.53,91.68,85.6,92.11,19606479.0
2023-08-23,90.03,86.61,86.0,90.03,12883045.0
2023-08-24,91.0,89.3,87.68,93.5,22244395.0
2023-08-25,85.14,80.55,79.95,87.66,22117093.0
2023-08-28,86.86,82.6,80.64,86.86,18585657.0
2023-08-29,82.49,85.06,80.72,88.8,22540496.0
2023-08-30,85.08,84.98,83.6,87.9,17312125.0
2023-08-31,84.92,84.46,83.0,86.01,12817993.0
2023-09-01,83.8,80.99,79.8,84.44,13145843.0
2023-09-04,81.0,81.75,80.19,81.92,9590068.0
2023-09-05,81.55,78.58,77.77,81.59,17379314.0
2023-09-06,78.6,79.45,76.81,80.19,12313517.0
2023-09-07,79.0,76.2,76.07,79.0,11416451.0
2023-09-08,75.48,75.0,73.21,76.19,11301029.0
2023-09-11,76.0,80.01,74.15,82.5,21576418.0
2023-09-12,78.8,79.9,78.34,81.8,16860515.0
2023-09-13,79.2,77.46,76.66,79.85,10524410.0
2023-09-14,78.01,75.25,75.0,79.19,9727259.0
2023-09-15,75.63,72.94,71.89,75.87,14438250.0
2023-09-18,72.02,70.53,70.25,73.73,13127274.0
2023-09-19,71.01,73.26,70.02,75.68,18649459.0
2023-09-20,72.93,72.55,72.49,77.0,16579332.0
2023-09-21,72.27,73.65,71.73,76.7,15349163.0
2023-09-22,74.1,88.38,74.1,88.38,34660400.0
2023-09-25,89.32,89.07,88.11,91.69,30374277.0
2023-09-26,90.17,89.6,88.57,93.84,23095530.0
2023-09-27,88.01,92.89,88.01,95.1,23484309.0
2023-09-28,95.05,95.0,91.62,97.0,22415952.0
2023-10-09,91.0,89.87,86.0,92.0,23665384.0
2023-10-10,90.0,88.2,87.77,90.33,15028182.0
2023-10-11,87.3,87.7,86.5,90.17,16945161.0
2023-10-12,89.0,84.37,83.98,89.0,17583258.0
2023-10-13,84.36,82.24,81.56,85.38,14339781.0
2023-10-16,82.01,83.56,80.88,84.84,19591913.0
2023-10-17,83.97,85.88,80.98,89.29,25500950.0
2023-10-18,81.0,86.85,78.23,87.0,28317509.0
2023-10-19,86.0,82.2,79.2,86.42,24004132.0
2023-10-20,84.97,82.9,82.28,87.3,28840552.0
2023-10-23,82.0,86.65,80.31,86.65,25724360.0
2023-10-24,89.26,87.2,87.2,94.78,34346589.0
2023-10-25,83.0,79.3,78.81,85.29,33835380.0
2023-10-26,76.5,77.45,74.03,79.6,23886703.0
2023-10-27,76.29,74.15,73.69,76.92,19967715.0
2023-10-30,74.66,73.7,72.95,75.33,17315773.0
2023-10-31,73.4,71.21,70.4,73.95,15792944.0
2023-11-01,70.51,68.6,68.59,72.29,15203832.0
2023-11-02,69.66,69.02,68.61,71.63,15893340.0
2023-11-03,69.02,71.3,68.74,72.27,21113690.0
2023-11-06,72.73,73.2,71.66,73.49,16981657.0
2023-11-07,72.39,78.71,71.4,83.2,33039473.0
2023-11-08,75.97,76.21,75.1,77.38,20521806.0
2023-11-09,78.5,78.68,76.88,82.3,24393173.0
2023-11-10,77.6,78.21,77.5,81.52,17228917.0
2023-11-13,81.0,81.66,81.0,84.76,24521441.0
2023-11-14,81.7,81.95,80.61,83.48,17662852.0
2023-11-15,85.21,80.87,78.9,85.87,17259607.0
2023-11-16,79.5,78.59,78.59,81.2,12074046.0
2023-11-17,78.7,81.92,77.76,83.43,17352627.0
2023-11-20,80.0,80.75,78.72,81.81,13716240.0
2023-11-21,81.24,80.28,79.79,83.26,12806614.0
2023-11-22,78.5,76.41,76.41,78.75,16460675.0
2023-11-23,76.59,76.99,75.66,77.35,7524568.0
2023-11-24,76.96,74.15,73.99,76.96,8619749.0
2023-11-27,74.15,75.41,73.73,76.36,10725411.0
2023-11-28,74.75,73.64,73.07,75.54,8136860.0
2023-11-29,73.5,73.0,72.66,74.28,6603919.0
2023-11-30,73.1,73.3,72.06,73.66,8698113.0
2023-12-01,73.29,76.68,72.07,77.44,19191105.0
2023-12-04,77.3,79.7,77.0,82.49,22699216.0
2023-12-05,80.66,82.39,80.58,85.6,27850364.0
2023-12-06,82.0,82.82,80.71,83.62,14957608.0
2023-12-07,83.83,83.29,82.59,85.26,16938451.0
2023-12-08,83.95,98.15,83.92,99.95,37241067.0
2023-12-11,97.0,104.2,96.01,104.97,26861176.0
2023-12-12,103.0,102.2,97.98,105.21,26076318.0
2023-12-13,103.0,100.34,99.9,103.83,15326129.0
2023-12-14,101.61,98.97,97.8,102.72,14823930.0
2023-12-15,98.82,96.85,95.49,101.18,12934864.0
2023-12-18,96.9,96.6,96.11,98.45,11595662.0
2023-12-19,96.87,96.25,94.61,97.73,10036954.0
2023-12-20,96.0,90.82,90.5,96.03,14073618.0
2023-12-21,91.05,93.8,89.77,96.34,15461191.0
2023-12-22,93.7,93.0,91.88,96.5,15016369.0
2023-12-25,93.9,93.0,89.0,94.3,11061268.0
2023-12-26,92.99,90.38,89.38,93.3,6696850.0
2023-12-27,91.03,89.6,89.07,91.54,8743208.0
2023-12-28,89.06,91.53,88.88,93.73,11651298.0
2023-12-29,90.5,91.52,90.31,95.5,15070082.0
2024-01-02,90.85,90.0,89.01,93.22,8343001.0
2024-01-03,89.08,88.16,86.77,90.1,10835042.0
2024-01-04,88.0,87.3,86.0,88.77,7915568.0
2024-01-05,87.2,84.25,83.52,87.6,8471867.0
2024-01-08,84.52,83.77,82.9,86.36,9225684.0
2024-01-09,86.5,85.49,84.5,87.79,12766615.0
2024-01-10,84.59,83.23,82.52,86.0,8575282.0
2024-01-11,83.2,86.01,83.1,87.85,11328993.0
2024-01-12,84.82,82.95,82.77,85.5,8563868.0
2024-01-15,82.05,83.8,81.12,85.05,7764114.0
2024-01-16,83.0,83.25,81.95,84.2,6603823.0
2024-01-17,84.54,84.67,84.19,87.79,15302766.0
2024-01-18,82.88,92.99,81.53,93.97,22280141.0
2024-01-19,94.25,91.6,91.3,94.88,14760064.0
2024-01-22,96.9,94.12,93.16,98.84,21553302.0
2024-01-23,95.0,98.0,94.54,101.0,18611288.0
2024-01-24,98.0,96.53,92.17,98.79,16490316.0
2024-01-25,95.88,98.98,95.23,100.85,15585608.0
2024-01-26,96.86,94.2,93.7,96.88,11447947.0
2024-01-29,92.92,84.67,79.54,93.0,16085531.0
2024-01-30,84.26,84.8,84.26,87.22,10323660.0
2024-01-31,83.5,85.87,81.83,89.0,13438609.0
2024-02-01,84.8,98.35,84.1,102.98,23421903.0
2024-02-02,98.51,99.0,95.23,100.99,16652139.0
2024-02-05,97.9,103.4,97.01,113.88,22033529.0
2024-02-06,100.0,114.5,99.68,114.5,21076345.0
2024-02-07,112.95,112.7,109.01,114.98,20376470.0
2024-02-08,115.91,108.8,107.1,122.52,24759839.0
2024-02-19,115.5,130.56,112.2,130.56,25018232.0
2024-02-20,127.3,128.65,125.58,133.0,21450938.0
2024-02-21,125.0,123.0,120.03,125.37,22252556.0
2024-02-22,127.43,123.66,118.25,129.0,23619989.0
2024-02-23,125.11,119.42,118.66,127.27,22287022.0
2024-02-26,115.0,118.99,114.0,122.09,16509385.0
2024-02-27,117.98,133.0,116.3,137.55,27902707.0
2024-02-28,131.51,124.7,124.03,133.59,21659834.0
2024-02-29,126.02,136.0,125.0,136.0,25272348.0
2024-03-01,135.0,136.88,131.69,139.99,23943838.0
2024-03-04,137.31,141.7,135.02,147.77,20369378.0
2024-03-05,140.0,135.6,134.86,148.02,24621224.0
2024-03-06,135.0,135.53,131.22,137.0,16071844.0
2024-03-07,136.06,133.17,132.2,139.99,13207009.0
2024-03-08,135.96,142.88,134.22,145.0,19078820.0
2024-03-11,135.9,138.8,132.6,138.96,17170302.0
2024-03-12,138.5,134.48,131.0,140.9,17212884.0
2024-03-13,139.0,137.1,136.0,141.8,18043785.0
2024-03-14,135.0,146.8,134.5,149.88,23048009.0
2024-03-15,146.8,156.01,144.5,158.8,23936825.0
2024-03-18,158.81,161.95,156.88,165.9,19626514.0
2024-03-19,161.0,162.55,154.94,165.53,17431327.0
2024-03-20,162.0,162.33,156.0,172.0,19419407.0
2024-03-21,162.73,160.71,160.0,166.88,14526735.0
